Key,Type,Required for,Read-only,Searchable
id,number,,✔,✔
customerKey,string,,,✔
objectID,string,,✔,✔
name,string,,,✔
description,string,,,✔
owner,object,,✔,✔
createdDate,string,,✔,✔
createdBy,object,,✔,✔
modifiedDate,string,,✔,✔
modifiedBy,object,,✔,✔
enterpriseID,number,,✔,✔
memberID,number,,✔,✔
activeDate,string,,,✔
expirationDate,string,,,✔
contentType,string,,,✔
assetType,object,,,✔
category,object,,,✔
content,string,,,✔
design,string,,,✔
superContent,string,,,✔
file,object,,,✔
views,object,,,✔
generateFrom,string,,,✔
slots,object,,,✔
blocks,object,,,✔
minBlocks,number,,,✔
maxBlocks,number,,,✔
allowedBlocks,array,,,✔
template,object,,,✔
meta,object,,,
customFields,object,,,✔
data,object,,,✔
channels,object,,,✔
version,number,,✔,✔
locked,boolean,,,✔
status,string,,,✔
tags,array,,,✔
businessUnitAvailability,object,,,✔
