Error Code,Error Message,SYSTEM ERROR,Explanation
1,Unsubscribed,The subscriber ExactTarget system status is unsubscribed,Email subscriber’s status in Marketing Cloud is unsubscribed
2,Held,The subscriber ExactTarget system status is held,Email subscriber’s status in Marketing Cloud is Held
3,PartnerUnsubscribed,The subscriber partner system status is unsubscribed,Email subscriber’s status in the partner system is unsubscribed
4,MissingEmailAddress,The subscriber has no email address,Email subscriber doesn’t have an email address
5,InvalidEmailAddress,The subscriber email address is invalid,Subscriber’s email address isn’t valid
6,DuplicateEmail,The subscriber email is the same as that of another job subscriber,Subscriber’s email address matches another subscriber’s
7,InvalidSubscriberIDProvided,The subscriber ID provided is invalid,Invalid subscriber ID
8,MissingSubscriberID,The subscriber key and subscriber ID are missing,Missing the subscriber key and subscriber ID
9,MissingOwnerID,This is an enterprise account and the ID for the child client account is missing,Missing the ID for the child client account in this enterprise account
10,MissingRequiredAttributes,There are required attribute values missing for the subscriber,Missing required attributes for the subscriber
11,NoAllSubscribersListEntry,The subscriber is not found on the AllSubscribers list for the account,Subscriber isn’t on the AllSubscribers list for the account
12,InvalidOwnerIDProvided,The child client account is not a member of the enterprise account,Child client account isn’t a member of the enterprise account
13,SubscriberKeyMismatch,The subscriber key in the ExactTarget system does not match the subscriber key provided,Marketing Cloud subscriber key doesn’t match the subscriber key provided. Check the subscriber key you provided against the Marketing Cloud subscriber key and try again.
14,EmailAddressMismatch,The email address in the ExactTarget system does not match the email address provided,Email address in Marketing Cloud doesn’t match the email address provided. Check the email address you provided against the one in Marketing Cloud and try again.
15,UnspecifiedError,The subscriber did not pass validation. Please contact your customer service representative.,Subscriber didn’t pass validation. Contact your Marketing Cloud account representative.
16,InvalidAttributeValue,The value specified for a subscriber attribute does not match the attribute type,Subscriber attribute value doesn’t match the attribute type
17,AttributeValueMaxLengthErr,The value specified for a subscriber attribute is over the maximum length allowed for the attribute,Subscriber attribute is too long for the given attribute size limit
18,InvalidAttributeValueCount,The number of subscriber attribute values does not match the expected count,Number of subscriber attributes doesn’t match the expected count
19,MissingRequiredFields,There are required data extension fields missing for the subscriber,Missing required data extension fields for the subscriber
20,InvalidFieldValue,The value specified for a data extension field does not match the field type,Data extension field value doesn’t match the field type
21,DuplicateDataExtensionRow,A duplicate row cannot be inserted into the Triggered Send data extension,You can’t insert a duplicate row into the triggered send data extension
22,DataExtensionInsertFailed,Failed to insert a row into the Triggered Send data extension,Failed to insert a row into the triggered send data extension
23,DomainExclusion,The subscriber was excluded by a domain exclusion list,Subscriber excluded by a domain exclusion list
24,ListDetectiveExclusion,The subscriber was excluded by List Detective,Subscriber excluded by List Detective
25,SubscriberBlackedOut,The subscriber is currently blacked out and the Triggered Send will be rescheduled,Subscriber is not available on their email calendar. The triggered send will be rescheduled.
26,BuildEmailError,An error occurred when attempting to build an email for the subscriber,An error occurred when attempting to build an email for the subscriber
27,SuppressionListExclusion,The subscriber was excluded by a suppression list,Subscriber excluded by a suppression list
28,OptOutListExclusion,The subscriber was excluded by an opt out list,Subscriber excluded by an opt out list
29,MissingSubscriberKeyValue,The subscriber key value is null or empty,Subscriber key value is null or empty
30,SubscriberKeyTooLong,The subscriber key value exceeds the maximum length,Subscriber key value is too long. Enter a key that is X or fewer characters.
31,ListLevelOptOut,The subscriber has opted out of the list,Subscriber opted out of the list.
32,MissingSendGroupID,The required SendGroupID was not specified for the subscriber,Missing required SendGroupID for the subscriber
33,AccountLevelOptOut,"The subscriber is master unsubscribed at the account, enterprise or business unit level","Subscriber is master unsubscribed at the account, enterprise or business unit level"
34,MissingMessageFileName,The SMTP subscriber message file name is missing,Missing SMTP subscriber message file name
35,InvalidEmailAddressID,The EmailAddressID for the subscriber supporting data privacy is missing or invalid,Missing or invalid EmailAddressID for the subscriber supporting data privacy
36,InvalidBusinessUnit,The subscriber is not a member of the enterprise business unit and has been excluded by the business unit filter,Subscriber isn’t a member of the enterprise business unit and is excluded by the business unit filter
37,QueuedTransactionDeleted,Queued Transaction for a Message has been deleted,Message’s queued transaction was deleted
38,InvalidSalesforceID,The subscriber has a subscriber key that appears to be an invalid SalesforceID. Case sensitive SFID values cannot be used as Subscriber Key values since these are not case sensitive.,Invalid SalesforceID for the subscriber key. Don’t use case-sensitive SFID values because SalesforceIDs aren’t case sensitive.
39,SubscriberQueueCleared,Queued unsent subscribers were cleared from the queue.,Queued unsent subscribers are cleared from the queue.
40,SubscriberDeleted,The subscriber or contact has been deleted and cannot be added back to the system.,Subscriber or contact is deleted and can’t be added to Marketing Cloud.
41,DuplicateSubscriber,The subscriber is a duplicate of a recent send.,Subscriber is a duplicate of a recent send.
42,RestrictedForProcessing,The subscriber or contact has been restricted for processing,Subscriber or contact is restricted for processing
43,SubscriberRequestExpired,The triggered send request to send to the subscriber or contact is expired,Expired triggered send request to the subscriber or contact
100,Error,Error when building email for subscriber,An error occurred when building the email for the subscriber.
101,Failure,Failure when sending email to subscriber,Failed to send email to the subscriber.
