OBJECT,FIELDS
Account,"Account Number
Billing Address
Description
Duns Number
Fax
Id
Name
Name Local
Phone
Shipping Address
Site
Ticker Symbol
Website"
Account Forecast Adjustment,"Id
Name"
Account Forecast Period Metric,"Id
Name"
Account Forecast,Name
Account Product Forecast,"Id
Name"
Account Product Period Forecast,"Id
Name"
Action Visibility,"AccountId
ContactId
HealthScoreId
Id
Name"
Activation Target Platform,"ActivationPlatformId
ActivationTargetId
Id
Name"
Actv Tgt Platform Field Value,"ActivationTargetPlatformId
ActvPlatformFieldValueId
Id
Name"
Activity Timing,"Id
Name"
Action Cadence,"Id
Name"
Ad Creative Size Type,"Id
Name"
Ad Order Item,"Ad Server Order Identifier
Ad Server Order Line Identifier
Id
Name"
Ad Order Line Ad Target,"AdOrderItemId
AdProductTargetCategoryId
Id
Name"
Ad Product Target Category,"Id
MediaType
Name
ProductId
TargetCategoryId"
Ad Quote,"Id
Name"
Ad Quote Line,"Id
Name"
Ad Quote Line Ad Target,"AdProductTargetCategoryId
AdQuoteLineId
Id
Name"
Ad Server,"Ad Server Application Name
Ad Server Network Identifier
Id
Name
Name Credential Reference"
Ad Server Account,"Ad Server Advertiser Identifier
Id
Name"
Ad Server User,Ad Server User Identifier
Ad Space Creative Size Type,"Id
Name"
Ad Space Group Member,"Id
Name"
Ad Space Specification,"Ad Server Ad Space Identifier
Id
Name"
Ad Target Category,"Code
Id
MediaType
Name
ParentAdTargetCategoryId
ProductId"
Ad Target Category Segment,"Code
DataType
DependentCategorySegmentId
DisplayType
Id
MediaType
Name
ProductId
TargetCategoryId"
Advanced Account Forecast Set Use,"AdvAccountForecastSetId
ForecastContextId
Id
Name"
AI Sentiment Result,"Id
Name"
AI Visit Recommendation,"Id
Name"
AI Visit Recommend Request,"Id
Name"
Air Travel Emission Factor,"Id
Name"
Air Travel Energy Use,"Id
Name"
Allergy Intolerance,"Id
Name
Source System"
Analytics (Dashboard and Lens),"Analytic dashboard and lens search results appear under Analytics.
Dashboard
Title
Lens
Description
Developer Name
Master Label
Name"
Annual Emissions Inventory,"Id
Name"
Annual Emissions Reduction Target,"Id
Name"
Applications,"Id
Name"
Appointment Reason,"Default Image
Description
Id
Name"
