Timezones,Timezones 1
Central,GMT+6
Eastern,GMT+6:30
Mountain,GMT+7
Pacific,GMT+8
"Abu Dhabi, Muscat, Tblisi",GMT+9
Alaska,"GMT, London"
Arizona,GMT-1
Athens,GMT-10
Atlantic Time (Canada),GMT-11
Auckland,GMT-12
Australia (East),GMT-2
Australia (Mid),GMT-3
"Baghdad, Kuwait, Nairobi",GMT-3:30
Bangkok,GMT-4
Bangladesh,GMT-5
Berlin,GMT-6
Brasilia,GMT-7
Buenos Aires,GMT-8
Cairo,GMT-9
Central Time,GMT-9:30
Central Time (US & Canada),Guam
China,Hawaii
Eastern Europe,"Hong Kong, Taiwan, Singapore"
Eastern Time,India
Eastern Time (US & Canada),Indiana (East)
Fiji,Islamabad
GMT +10:30,Israel
GMT +11:30,Kabul
GMT +13,Mexico City
GMT +14,Mid-Atlantic
GMT +9:30,Moscow
GMT -8:30,Mountain Time
GMT 0,Mountain Time (US & Canada)
GMT+1,Newfoundland
GMT+10,Pacific Time
GMT+11,Pacific Time (US & Canada)
GMT+12,Paris
GMT+2,Perth
GMT+3,Prague
GMT+3:30,Tehran
GMT+4,Tokyo
GMT+4:30,
GMT+5,
GMT+5:30,
